ibge7,municipio,uf,total,recebe,governo,propria,cooperativas,integradoras,privadas,ong,sistema_s,outra,nao_recebe
1100015,Alta Floresta D'Oeste,RO,2884,511,389,120,14,,3,12,2,13,2373
1100023,Ariquemes,RO,2927,329,215,94,9,6,10,2,,8,2598
1100031,Cabixi,RO,1075,307,231,63,1,4,4,1,,9,768
1100049,Cacoal,RO,3805,378,191,146,13,16,11,1,7,28,3427
1100056,Cerejeiras,RO,718,167,93,60,2,18,2,,,1,551
1100064,Colorado do Oeste,RO,1673,548,321,180,7,71,12,,,17,1125
1100072,Corumbiara,RO,1489,299,220,79,1,19,4,,,6,1190
1100080,Costa Marques,RO,1495,550,462,95,2,2,2,,1,10,945
1100098,Espigão D'Oeste,RO,1999,241,161,64,8,5,2,,,6,1758
1100106,Guajará-Mirim,RO,545,217,199,17,3,,,,,1,328
1100114,Jaru,RO,3547,575,501,50,8,,4,,,39,2972
1100122,Ji-Paraná,RO,2544,740,641,82,8,5,,1,,18,1804
1100130,Machadinho D'Oeste,RO,4228,402,216,166,13,5,12,3,1,7,3826
1100148,Nova Brasilândia D'Oeste,RO,3007,319,138,155,6,8,10,2,1,11,2688
1100155,Ouro Preto do Oeste,RO,2152,598,494,105,8,3,4,1,,2,1554
1100189,Pimenta Bueno,RO,1197,150,108,45,,2,,,,4,1047
1100205,Porto Velho,RO,5121,1231,1000,96,106,53,9,2,6,29,3890
1100254,Presidente Médici,RO,2105,603,536,74,16,3,4,2,,8,1502
1100262,Rio Crespo,RO,492,71,38,26,1,3,4,2,,1,421
1100288,Rolim de Moura,RO,2038,449,328,109,3,5,3,,,16,1589
1100296,Santa Luzia D'Oeste,RO,1023,271,193,80,2,5,3,,,6,752
1100304,Vilhena,RO,1579,423,321,85,7,8,2,1,1,13,1156
1100320,São Miguel do Guaporé,RO,2487,280,95,106,7,66,7,1,,9,2207
1100338,Nova Mamoré,RO,2115,225,161,28,7,36,1,,,5,1890
1100346,Alvorada D'Oeste,RO,1824,402,337,52,3,,8,,8,6,1422
1100379,Alto Alegre dos Parecis,RO,1974,363,279,82,4,2,,,5,8,1611
1100403,Alto Paraíso,RO,2617,215,145,73,3,2,1,,,6,2402
1100452,Buritis,RO,2830,237,182,49,2,2,4,1,,4,2593
1100502,Novo Horizonte do Oeste,RO,1347,378,231,183,9,2,1,,1,5,969
1100601,Cacaulândia,RO,894,306,227,49,25,,,2,,15,588
1100700,Campo Novo de Rondônia,RO,1918,117,80,22,3,2,5,3,1,20,1801
1100809,Candeias do Jamari,RO,1239,262,177,83,,,5,,,6,977
1100908,Castanheiras,RO,577,183,147,26,2,4,3,,,10,394
1100924,Chupinguaia,RO,1044,363,280,74,1,5,5,,,3,681
1100940,Cujubim,RO,1897,327,280,25,3,10,9,18,,5,1570
1101005,Governador Jorge Teixeira,RO,1673,314,297,13,,2,,,,2,1359
1101104,Itapuã do Oeste,RO,759,325,308,22,1,,3,,,3,434
1101203,Ministro Andreazza,RO,1182,190,133,23,24,39,17,,,2,992
1101302,Mirante da Serra,RO,1241,269,226,39,1,1,1,,,7,972
1101401,Monte Negro,RO,1554,317,274,35,9,1,,1,,3,1237
1101435,Nova União,RO,1382,407,373,36,,,1,,,1,975
1101450,Parecis,RO,642,174,155,15,,,,,,8,468
1101468,Pimenteiras do Oeste,RO,304,173,130,38,2,6,2,,,,131
1101476,Primavera de Rondônia,RO,401,156,138,17,,1,1,,,1,245
1101484,São Felipe D'Oeste,RO,797,262,222,31,10,9,3,,,2,535
1101492,São Francisco do Guaporé,RO,1950,213,99,86,6,19,9,1,,5,1737
1101500,Seringueiras,RO,1677,148,106,38,6,2,1,4,,8,1529
1101559,Teixeirópolis,RO,738,202,190,10,,,1,,,3,536
1101609,Theobroma,RO,2160,191,143,40,1,1,1,,1,6,1969
1101708,Urupá,RO,1622,207,168,18,10,,,1,,14,1415
1101757,Vale do Anari,RO,1702,324,275,29,2,2,2,,,24,1378
1101807,Vale do Paraíso,RO,942,133,123,10,,1,1,,,1,809
1200013,Acrelândia,AC,1450,121,95,24,1,,2,,1,3,1329
1200054,Assis Brasil,AC,517,84,80,,2,,,1,,1,433
1200104,Brasiléia,AC,2090,270,147,107,17,10,2,1,,4,1820
1200138,Bujari,AC,1402,170,149,21,,2,3,3,,,1232
1200179,Capixaba,AC,1289,67,34,32,1,1,,,,,1222
1200203,Cruzeiro do Sul,AC,3205,189,156,22,,,1,6,2,4,3016
1200252,Epitaciolândia,AC,1452,34,21,2,2,4,,1,4,2,1418
1200302,Feijó,AC,2950,507,464,287,2,,2,3,,71,2443
1200328,Jordão,AC,483,28,25,1,,,,,,2,455
1200336,Mâncio Lima,AC,1087,181,164,8,7,,1,1,1,5,906
1200344,Manoel Urbano,AC,645,25,18,7,,,,,,,620
1200351,Marechal Thaumaturgo,AC,1641,382,119,3,8,,,252,,2,1259
1200385,Plácido de Castro,AC,1344,115,74,41,3,2,,,,1,1229
1200393,Porto Walter,AC,1044,166,102,,18,,,1,49,,878
1200401,Rio Branco,AC,4105,443,279,116,34,1,2,,,47,3662
1200427,Rodrigues Alves,AC,1292,145,130,,3,,,12,,1,1147
1200435,Santa Rosa do Purus,AC,632,102,100,,,,,,,2,530
1200450,Senador Guiomard,AC,1444,218,76,131,9,1,1,1,,7,1226
1200500,Sena Madureira,AC,2672,105,40,58,,1,2,,2,5,2567
1200609,Tarauacá,AC,2876,186,157,23,5,1,1,,,3,2690
1200708,Xapuri,AC,1886,251,162,36,25,1,,33,12,10,1635
1200807,Porto Acre,AC,1579,437,305,34,5,90,2,,,4,1142
1300029,Alvarães,AM,989,151,140,3,1,,,2,,11,838
1300060,Amaturá,AM,538,73,73,1,,,,,,1,465
1300086,Anamã,AM,622,78,69,1,5,,,,,6,544
1300102,Anori,AM,748,98,87,1,,,,9,,2,650
1300144,Apuí,AM,1083,282,252,25,3,,1,14,,3,801
1300201,Atalaia do Norte,AM,1248,28,26,,,,1,,,1,1220
1300300,Autazes,AM,2554,207,121,51,15,,,,3,23,2347
1300409,Barcelos,AM,850,86,80,2,3,,,,,2,764
1300508,Barreirinha,AM,1578,60,44,17,,,,,,5,1518
1300607,Benjamin Constant,AM,1209,160,154,2,1,,1,1,1,3,1049
1300631,Beruri,AM,996,117,107,2,6,,,1,,1,879
1300680,Boa Vista do Ramos,AM,1087,58,41,9,2,,,,,6,1029
1300706,Boca do Acre,AM,2923,207,160,26,2,1,,1,,41,2716
1300805,Borba,AM,1730,231,202,22,,,1,1,,6,1499
1300839,Caapiranga,AM,177,13,12,,,,,,,1,164
1300904,Canutama,AM,817,80,41,27,1,2,,,,12,737
1301001,Carauari,AM,1202,56,47,3,4,,,,,2,1146
1301100,Careiro,AM,2290,213,182,25,,,1,2,1,9,2077
1301159,Careiro da Várzea,AM,1832,184,146,35,7,,,2,1,3,1648
1301209,Coari,AM,2171,125,98,3,4,10,,1,1,13,2046
1301308,Codajás,AM,1099,320,312,4,1,,,,,6,779
1301407,Eirunepé,AM,1046,338,331,3,,,,,,4,708
1301506,Envira,AM,1011,305,288,29,,,,25,1,43,706
1301605,Fonte Boa,AM,862,168,154,1,,,,,,18,694
1301654,Guajará,AM,948,86,8,76,1,,,,,3,862
1301704,Humaitá,AM,725,99,87,12,,,,,,4,626
1301803,Ipixuna,AM,1011,156,151,3,,,,,,4,855
1301852,Iranduba,AM,1399,415,350,60,2,5,5,1,,11,984
1301902,Itacoatiara,AM,2404,376,308,44,21,3,4,5,,20,2028
1301951,Itamarati,AM,577,135,133,1,,,,,,1,442
1302009,Itapiranga,AM,225,52,49,4,,,,,,,173
1302108,Japurá,AM,302,44,41,3,,,,,,1,258
1302207,Juruá,AM,731,7,6,1,,,,,,1,724
1302306,Jutaí,AM,1100,28,27,1,,,,,,,1072
1302405,Lábrea,AM,2122,176,124,37,12,,,3,,3,1946
1302504,Manacapuru,AM,2327,234,193,20,9,11,2,,2,6,2093
1302553,Manaquiri,AM,1279,208,198,4,5,,1,2,,1,1071
1302603,Manaus,AM,1931,499,348,130,11,1,3,4,8,19,1432
1302702,Manicoré,AM,2643,249,198,37,16,,,3,,9,2394
1302801,Maraã,AM,669,33,27,1,,,,3,,4,636
1302900,Maués,AM,1769,231,180,19,13,11,11,11,,10,1538
1303007,Nhamundá,AM,1314,55,41,11,4,,,,,,1259
1303106,Nova Olinda do Norte,AM,1392,289,233,23,,,,33,,1,1103
1303205,Novo Airão,AM,234,40,33,7,,,,,,,194
1303304,Novo Aripuanã,AM,1004,150,122,3,23,,,1,,20,854
1303403,Parintins,AM,2740,268,90,175,4,,1,,,28,2472
1303502,Pauini,AM,1331,255,254,1,,,,,,,1076
