ibge2,uf,estado,total,recebe,governo,propria,cooperativas,integradoras,privadas,ong,sistema_s,outra,nao_recebe
11,RO,Rondônia,91132,17042,12977,3343,379,456,197,62,35,445,74090
12,AC,Acre,37085,4226,2897,953,142,114,19,315,71,174,32859
13,AM,Amazonas,77840,9534,7951,1133,241,54,43,145,20,405,68306
14,RR,Roraima,16628,2217,1494,638,37,16,26,6,110,85,14411
15,PA,Pará,277573,16710,8747,5039,1082,756,349,252,127,1126,260863
16,AP,Amapá,8316,1280,1113,132,14,8,12,1,45,34,7036
17,TO,Tocantins,63039,8803,4708,3378,220,221,172,12,270,422,54236
21,MA,Maranhão,202276,8954,4143,3197,325,386,166,112,179,815,193322
22,PI,Piauí,237272,8327,4225,2555,554,102,96,98,260,945,228945
23,CE,Ceará,370717,41995,35896,4199,935,172,175,534,182,1156,328722
24,RN,Rio Grande do Norte,62893,10167,5464,3467,521,115,102,71,397,741,52726
25,PB,Paraíba,161656,27967,21378,4971,1208,294,72,443,135,1095,133689
26,PE,Pernambuco,279437,18908,9695,4946,1381,568,322,885,82,2073,260529
27,AL,Alagoas,97786,6048,2597,1980,1004,112,72,43,45,482,91738
28,SE,Sergipe,92742,8287,5435,2235,203,147,62,12,47,388,84455
29,BA,Bahia,756822,58285,24230,17103,8308,2132,937,3513,610,5340,698537
31,MG,Minas Gerais,605304,158625,54771,64048,38668,7460,2207,723,890,8561,446679
32,ES,Espírito Santo,107386,25253,8882,7830,7261,1312,402,44,352,1694,82133
33,RJ,Rio de Janeiro,65091,16055,6794,7223,1287,180,213,41,36,1653,49036
35,SP,São Paulo,187848,77018,18252,35984,18960,5222,1853,195,525,5911,110830
41,PR,Paraná,304221,137385,30014,35183,63377,26199,6096,249,243,4670,166836
42,SC,Santa Catarina,182489,94680,35324,17977,31586,31400,2665,188,559,3340,87809
43,RS,Rio Grande do Sul,364193,182026,58446,44743,60109,52503,8947,409,860,7021,182167
50,MS,Mato Grosso do Sul,70962,22560,6449,11798,3460,1057,878,73,694,793,48402
51,MT,Mato Grosso,118433,21967,4946,12583,2083,1753,833,86,344,1080,96466
52,GO,Goiás,151906,33392,5513,18783,7419,1902,1275,80,324,1307,118514
53,DF,Distrito Federal,5240,4031,3566,417,218,162,35,7,88,42,1209
