ibge7,municipio,uf,estabelecimentos_total,estabelecimentos_agricultura_familiar
1100015,Alta Floresta D'Oeste,RO,2886,2256
1100023,Ariquemes,RO,2928,2317
1100031,Cabixi,RO,1075,839
1100049,Cacoal,RO,3814,3363
1100056,Cerejeiras,RO,719,502
1100064,Colorado do Oeste,RO,1674,1408
1100072,Corumbiara,RO,1489,1168
1100080,Costa Marques,RO,1500,1034
1100098,Espigão D'Oeste,RO,2000,1467
1100106,Guajará-Mirim,RO,602,500
1100114,Jaru,RO,3548,3099
1100122,Ji-Paraná,RO,2544,1990
1100130,Machadinho D'Oeste,RO,4272,3864
1100148,Nova Brasilândia D'Oeste,RO,3010,2658
1100155,Ouro Preto do Oeste,RO,2159,1661
1100189,Pimenta Bueno,RO,1241,904
1100205,Porto Velho,RO,5177,3770
1100254,Presidente Médici,RO,2105,1666
1100262,Rio Crespo,RO,492,325
1100288,Rolim de Moura,RO,2038,1639
1100296,Santa Luzia D'Oeste,RO,1023,871
1100304,Vilhena,RO,1580,1130
1100320,São Miguel do Guaporé,RO,2487,2116
1100338,Nova Mamoré,RO,2117,1902
1100346,Alvorada D'Oeste,RO,1825,1504
1100379,Alto Alegre dos Parecis,RO,1975,1556
1100403,Alto Paraíso,RO,2619,2234
1100452,Buritis,RO,2830,2365
1100502,Novo Horizonte do Oeste,RO,1347,1111
1100601,Cacaulândia,RO,903,547
1100700,Campo Novo de Rondônia,RO,1918,1674
1100809,Candeias do Jamari,RO,1240,934
1100908,Castanheiras,RO,577,452
1100924,Chupinguaia,RO,1045,685
1100940,Cujubim,RO,1897,1403
1101005,Governador Jorge Teixeira,RO,1693,1560
1101104,Itapuã do Oeste,RO,764,622
1101203,Ministro Andreazza,RO,1201,978
1101302,Mirante da Serra,RO,1242,1007
1101401,Monte Negro,RO,1554,1257
1101435,Nova União,RO,1387,1084
1101450,Parecis,RO,642,528
1101468,Pimenteiras do Oeste,RO,304,170
1101476,Primavera de Rondônia,RO,401,308
1101484,São Felipe D'Oeste,RO,797,661
1101492,São Francisco do Guaporé,RO,1950,1547
1101500,Seringueiras,RO,1677,1438
1101559,Teixeirópolis,RO,738,626
1101609,Theobroma,RO,2160,1913
1101708,Urupá,RO,1623,1479
1101757,Vale do Anari,RO,1707,1478
1101807,Vale do Paraíso,RO,942,759
1200013,Acrelândia,AC,1462,1228
1200054,Assis Brasil,AC,523,476
1200104,Brasiléia,AC,2100,1755
1200138,Bujari,AC,1404,1107
1200179,Capixaba,AC,1289,1113
1200203,Cruzeiro do Sul,AC,3264,2842
1200252,Epitaciolândia,AC,1454,1286
1200302,Feijó,AC,2968,2590
1200328,Jordão,AC,484,460
1200336,Mâncio Lima,AC,1088,951
1200344,Manoel Urbano,AC,645,526
1200351,Marechal Thaumaturgo,AC,1677,1503
1200385,Plácido de Castro,AC,1346,1064
1200393,Porto Walter,AC,1116,1058
