ibge2,uf,estado,estabelecimentos_total,estabelecimentos_agricultura_familiar
11,RO,Rondônia,91438,74329
12,AC,Acre,37356,31109
13,AM,Amazonas,80959,70358
14,RR,Roraima,16846,13103
15,PA,Pará,281699,239737
16,AP,Amapá,8507,6984
17,TO,Tocantins,63808,44955
21,MA,Maranhão,219765,187118
22,PI,Piauí,245601,197246
23,CE,Ceará,394330,297862
24,RN,Rio Grande do Norte,63452,50680
25,PB,Paraíba,163218,125489
26,PE,Pernambuco,281688,232611
27,AL,Alagoas,98542,82369
28,SE,Sergipe,93275,72060
29,BA,Bahia,762848,593411
31,MG,Minas Gerais,607557,441829
32,ES,Espírito Santo,108014,80775
33,RJ,Rio de Janeiro,65224,43786
35,SP,São Paulo,188620,122555
41,PR,Paraná,305154,228888
42,SC,Santa Catarina,183066,142987
43,RS,Rio Grande do Sul,365094,293892
50,MS,Mato Grosso do Sul,71164,43223
51,MT,Mato Grosso,118679,81635
52,GO,Goiás,152174,95684
53,DF,Distrito Federal,5246,2733
