ibge7,municipio,uf,domicilios_total,domicilios_com_internet
1100015,Alta Floresta D'Oeste,RO,7699,6725
1100023,Ariquemes,RO,34739,30940
1100031,Cabixi,RO,1967,1807
1100049,Cacoal,RO,31930,29156
1100056,Cerejeiras,RO,5876,5324
1100064,Colorado do Oeste,RO,5991,5332
1100072,Corumbiara,RO,2841,2372
1100080,Costa Marques,RO,4161,3486
1100098,Espigão D'Oeste,RO,10475,9425
1100106,Guajará-Mirim,RO,11785,9668
1100114,Jaru,RO,19099,17113
1100122,Ji-Paraná,RO,45045,41273
1100130,Machadinho D'Oeste,RO,10841,8966
1100148,Nova Brasilândia D'Oeste,RO,5801,5071
1100155,Ouro Preto do Oeste,RO,13316,12245
1100189,Pimenta Bueno,RO,12353,11086
1100205,Porto Velho,RO,152077,136380
1100254,Presidente Médici,RO,7232,6486
1100262,Rio Crespo,RO,1245,1069
1100288,Rolim de Moura,RO,20998,19492
1100296,Santa Luzia D'Oeste,RO,2758,2406
1100304,Vilhena,RO,34983,31778
1100320,São Miguel do Guaporé,RO,7883,6893
1100338,Nova Mamoré,RO,8437,7334
1100346,Alvorada D'Oeste,RO,4819,4129
1100379,Alto Alegre dos Parecis,RO,4047,3434
1100403,Alto Paraíso,RO,5775,5016
1100452,Buritis,RO,9893,8705
1100502,Novo Horizonte do Oeste,RO,2796,2482
1100601,Cacaulândia,RO,1484,1262
1100700,Campo Novo de Rondônia,RO,3069,2709
1100809,Candeias do Jamari,RO,7442,5861
1100908,Castanheiras,RO,1197,1041
1100924,Chupinguaia,RO,3220,2858
1100940,Cujubim,RO,5227,4271
1101005,Governador Jorge Teixeira,RO,2883,2247
1101104,Itapuã do Oeste,RO,2911,2521
1101203,Ministro Andreazza,RO,2383,2130
1101302,Mirante da Serra,RO,3508,3161
1101401,Monte Negro,RO,4226,3630
1101435,Nova União,RO,2236,2059
1101450,Parecis,RO,1529,1282
1101468,Pimenteiras do Oeste,RO,743,615
1101476,Primavera de Rondônia,RO,1133,955
1101484,São Felipe D'Oeste,RO,1962,1760
1101492,São Francisco do Guaporé,RO,5799,5245
1101500,Seringueiras,RO,3949,3201
1101559,Teixeirópolis,RO,1582,1404
1101609,Theobroma,RO,3008,2515
1101708,Urupá,RO,3952,3514
1101757,Vale do Anari,RO,2812,2097
1101807,Vale do Paraíso,RO,2448,2041
1200013,Acrelândia,AC,4466,3602
1200054,Assis Brasil,AC,2424,1557
1200104,Brasiléia,AC,8621,6194
