ibge2,uf,estado,domicilios_total,domicilios_com_internet
11,RO,Rondônia,555567,493972
12,AC,Acre,260837,195092
13,AM,Amazonas,1079481,841834
14,RR,Roraima,177402,144156
15,PA,Pará,2444131,1897361
16,AP,Amapá,200899,171303
17,TO,Tocantins,513736,429667
21,MA,Maranhão,2091131,1612010
22,PI,Piauí,1071338,838312
23,CE,Ceará,3020258,2497270
24,RN,Rio Grande do Norte,1142071,964356
25,PB,Paraíba,1372093,1130991
26,PE,Pernambuco,3184558,2632797
27,AL,Alagoas,1041118,848564
28,SE,Sergipe,782969,636713
29,BA,Bahia,5088395,4118729
31,MG,Minas Gerais,7534797,6448781
32,ES,Espírito Santo,1428808,1241752
33,RJ,Rio de Janeiro,6151481,5398402
35,SP,São Paulo,16226118,14718091
41,PR,Paraná,4209474,3758304
42,SC,Santa Catarina,2808485,2599083
43,RS,Rio Grande do Sul,4257001,3738175
50,MS,Mato Grosso do Sul,979575,865449
51,MT,Mato Grosso,1278111,1129902
52,GO,Goiás,2573360,2284623
53,DF,Distrito Federal,988175,936051
